dog_breed;category;datadog_score;popularity_inUS_ranking;longevity;grooming_required;suitability_for_children;size_category;intelligence_category;lifetime_costs;average_purchase_price;price_category
Chinese Shar Pei;non-sporting;;;;;;medium;Average;;840;midprice
Collie;herding;;;;;;large;Excellent;;650;budget
Curly Coated Retriever;sporting;;;10,75;2;2;large;Average;;;
English Foxhound;hound;;;;;;large;Average;;;
Entlebucher Mountain Dog;herding;;;;;;medium;;;1167;midprice
Field Spaniel;sporting;;;9,90;1;2;medium;Above average;;;
Finnish Lapphund;herding;;;7,33;1;1;medium;;;;
Finnish Spitz;non-sporting;;;11,17;2;1;medium;Average;;;
German Pinscher;working;;;11,42;;;medium;;;1500;highend
German Wirehaired Pointer;sporting;;;10,00;;;large;Average;;655;budget
Glen of Imaal Terrier;terrier;;;10,42;;;small;;;;
Great Pyrenees;working;;;10,00;;;large;Fair;;503;budget
Greater Swiss Mountain Dog;working;;;6,80;;;large;;;1605;highend
Harrier;hound;;;;;;medium;;;;
Havanese;toy;;;10,25;;;small;;;830;midprice
Ibizan Hound;hound;;;;2;1;large;Average;;1500;highend
Icelandic Sheepdog;herding;;;;;;medium;;;;
Irish Red and White Setter;sporting;;;11,57;;;large;;;1000;midprice
Irish Terrier;terrier;;;;2;1;medium;Average;;588;budget
Irish Water Spaniel;sporting;;;9,33;2;1;medium;Excellent;;;
Japanese Chin;toy;;;9,25;;;small;Fair;;513;budget
Keeshond;non-sporting;;;12,17;;;medium;Excellent;;610;budget
Komondor;working;;;9,17;;;large;;;656;budget
Kuvasz;working;;;;;;large;Average;;;
Lakeland Terrier;terrier;;;;2;1;small;Fair;;1093;midprice
Leonberger;working;;;6,98;2;1;large;;13232;1480;midprice
Looked  nothing;;;;;;;;;;;
Löwchen;non-sporting;;;10,00;;;small;;;;
Manchester Terrier;terrier;;;9,32;;;small;Above average;;720;midprice
Miniature Bull Terrier;terrier;;;6,60;;;small;;;1740;highend
Miniature Pinscher;toy;;;;;;small;Above average;;535;budget
Neapolitan Mastiff;working;;;;2;1;large;;;1760;highend
Norwegian Buhund;herding;;;12,67;;;medium;;;;
Norwegian Elkhound;hound;;;;;;medium;Above average;;448;budget
Norwegian Lundehund;non-sporting;;;;;;small;;;;
Norwich Terrier;terrier;;;;2;2;small;Above average;;1245;midprice
NOT POSSIBLE IF NO INTELLIGENCE DATA;;;;;;;;;;;
Nova Scotia Duck Tolling Retriever;sporting;;;6,50;2;1;medium;;11100;1500;highend
Otterhound;hound;;;10,80;2;1;large;Average;;;
Parson Russell Terrier;terrier;;;;2;2;small;;;528;budget
Petit Basset Griffon Vendeen;hound;;;12,70;;;small;Fair;;400;budget
Plott;hound;;;;;;medium;;;;
Polish Lowland Sheepdog;herding;;;10,80;2;2;medium;;;;
Portuguese Water Dog;working;;;11,42;;;medium;;;;
Puli;herding;;;;;;medium;Above average;;913;midprice
Pyrenean Shepherd;herding;;;;;;medium;;;;
Redbone Coonhound;hound;;;;;;large;;;425;budget
Schipperke;non-sporting;;;13,00;;;small;Excellent;;658;budget
Scottish Deerhound;hound;;;8,70;;;large;Average;;;
Sealyham Terrier;terrier;;;12,25;;;small;Fair;;;
Shiba Inu;non-sporting;;;7,00;;;small;;;890;midprice
Silky Terrier;toy;;;14,25;;;small;Above average;;448;budget
Skye Terrier;terrier;;;11,00;;;small;Fair;;550;budget
Smooth Fox Terrier;terrier;;;13,17;;;small;Average;;575;budget
SoftCoated Wheaten Terrier;terrier;;;12,16;;;medium;Average;;832;midprice
Spinone Italiano;sporting;;;9,00;;;large;;;1725;highend
Standard Schnauzer;working;;;;;;medium;Excellent;;855;midprice
Sussex Spaniel;sporting;;;11,17;2;3;small;;;;
Swedish Vallhund;herding;;;14,17;2;1;small;;19739;772;midprice
Tibetan Mastiff;working;;;11,92;2;1;large;;20899;3460;highend
Toy Fox Terrier;toy;;;;;;small;;;460;budget
Vizsla;sporting;;;12,50;;;medium;Excellent;;935;midprice
Weimaraner;sporting;;;;2;1;large;Excellent;;562;budget
Welsh Terrier;terrier;;;;2;1;small;Average;;843;midprice
Wire Fox Terrier;terrier;;;13,17;;;small;Average;;668;budget
Wirehaired Pointing Griffon;sporting;;;8,80;;;medium;Average;;755;midprice
Xoloitzcuintli;non-sporting;;;;;;medium;;;717;midprice
